$,_ft,settlementdate,v#
QLD1,Solar,2021-09-22 14:40:00,645.0186510000002
QLD1,Solar,2021-09-22 14:45:00,631.290371
QLD1,Solar,2021-09-22 14:50:00,632.074701
QLD1,Solar,2021-09-22 14:55:00,638.6963509999999
QLD1,Solar,2021-09-22 15:00:00,650.3712210000001
QLD1,Wind,2021-09-22 12:00:00,66.05
QLD1,Wind,2021-09-22 12:05:00,63.68
QLD1,Wind,2021-09-22 12:10:00,72.17999999999999
QLD1,Wind,2021-09-22 12:15:00,91.83
QLD1,Wind,2021-09-22 12:20:00,100
QLD1,Wind,2021-09-22 12:25:00,96.77
QLD1,Wind,2021-09-22 12:30:00,105.23
QLD1,Wind,2021-09-22 12:35:00,111.71000000000001
QLD1,Wind,2021-09-22 12:40:00,103.5
QLD1,Wind,2021-09-22 12:45:00,111.49
QLD1,Wind,2021-09-22 12:50:00,97.41999999999999
QLD1,Wind,2021-09-22 12:55:00,89.05
QLD1,Wind,2021-09-22 13:00:00,107.83999999999999
QLD1,Wind,2021-09-22 13:05:00,103.77
QLD1,Wind,2021-09-22 13:10:00,117.9
QLD1,Wind,2021-09-22 13:15:00,123.85
QLD1,Wind,2021-09-22 13:20:00,124.69
QLD1,Wind,2021-09-22 13:25:00,149.25
QLD1,Wind,2021-09-22 13:30:00,141.01
QLD1,Wind,2021-09-22 13:35:00,148.72001
QLD1,Wind,2021-09-22 13:40:00,169.82999999999998
QLD1,Wind,2021-09-22 13:45:00,168.83999999999997
QLD1,Wind,2021-09-22 13:50:00,145.18
QLD1,Wind,2021-09-22 13:55:00,152.82
QLD1,Wind,2021-09-22 14:00:00,157.41998999999998
QLD1,Wind,2021-09-22 14:05:00,129.57
QLD1,Wind,2021-09-22 14:10:00,150.66001
QLD1,Wind,2021-09-22 14:15:00,144.96
QLD1,Wind,2021-09-22 14:20:00,146.02
QLD1,Wind,2021-09-22 14:25:00,127.44
QLD1,Wind,2021-09-22 14:30:00,124.02
QLD1,Wind,2021-09-22 14:35:00,145.60001
QLD1,Wind,2021-09-22 14:40:00,130.89000000000001
QLD1,Wind,2021-09-22 14:45:00,133.91
QLD1,Wind,2021-09-22 14:50:00,120.14
QLD1,Wind,2021-09-22 14:55:00,121.51
QLD1,Wind,2021-09-22 15:00:00,118.92
QLD1,Rooftop PV,2021-09-22 12:00:00,2816.54
QLD1,Rooftop PV,2021-09-22 12:05:00,2814.29833333
QLD1,Rooftop PV,2021-09-22 12:10:00,2812.05666667
QLD1,Rooftop PV,2021-09-22 12:15:00,2809.815
QLD1,Rooftop PV,2021-09-22 12:20:00,2807.57333333
QLD1,Rooftop PV,2021-09-22 12:25:00,2805.33166667
QLD1,Rooftop PV,2021-09-22 12:30:00,2803.09
QLD1,Rooftop PV,2021-09-22 12:35:00,2787.445
QLD1,Rooftop PV,2021-09-22 12:40:00,2771.8
QLD1,Rooftop PV,2021-09-22 12:45:00,2756.155
QLD1,Rooftop PV,2021-09-22 12:50:00,2740.51
QLD1,Rooftop PV,2021-09-22 12:55:00,2724.865
QLD1,Rooftop PV,2021-09-22 13:00:00,2709.22
QLD1,Rooftop PV,2021-09-22 13:05:00,2686.29
QLD1,Rooftop PV,2021-09-22 13:10:00,2663.36
QLD1,Rooftop PV,2021-09-22 13:15:00,2640.43
QLD1,Rooftop PV,2021-09-22 13:20:00,2617.5
QLD1,Rooftop PV,2021-09-22 13:25:00,2594.57
QLD1,Rooftop PV,2021-09-22 13:30:00,2571.64
QLD1,Rooftop PV,2021-09-22 13:35:00,2547.26166667
QLD1,Rooftop PV,2021-09-22 13:40:00,2522.88333333
QLD1,Rooftop PV,2021-09-22 13:45:00,2498.505
QLD1,Rooftop PV,2021-09-22 13:50:00,2474.12666667
QLD1,Rooftop PV,2021-09-22 13:55:00,2449.74833333
QLD1,Rooftop PV,2021-09-22 14:00:00,2425.37
QLD1,Rooftop PV,2021-09-22 14:05:00,2384.61666667
QLD1,Rooftop PV,2021-09-22 14:10:00,2343.86333333
QLD1,Rooftop PV,2021-09-22 14:15:00,2303.11
QLD1,Rooftop PV,2021-09-22 14:20:00,2262.35666667
QLD1,Rooftop PV,2021-09-22 14:25:00,2221.60333333
QLD1,Rooftop PV,2021-09-22 14:30:00,2180.85
QLD1,Rooftop PV,2021-09-22 14:35:00,2134.70666667
QLD1,Rooftop PV,2021-09-22 14:40:00,2088.56333333
QLD1,Rooftop PV,2021-09-22 14:45:00,2042.42
QLD1,Rooftop PV,2021-09-22 14:50:00,1996.27666667
QLD1,Rooftop PV,2021-09-22 14:55:00,1950.13333333
QLD1,Rooftop PV,2021-09-22 15:00:00,1903.99
NSW1,Black Coal,2021-09-22 12:00:00,3938.56883
NSW1,Black Coal,2021-09-22 12:05:00,3864.21274
NSW1,Black Coal,2021-09-22 12:10:00,3879.62498
NSW1,Black Coal,2021-09-22 12:15:00,3809.64994
NSW1,Black Coal,2021-09-22 12:20:00,3827.7373900000002
NSW1,Black Coal,2021-09-22 12:25:00,3779.05623
NSW1,Black Coal,2021-09-22 12:30:00,3779.46866
NSW1,Black Coal,2021-09-22 12:35:00,3740.90003
NSW1,Black Coal,2021-09-22 12:40:00,3683.53142
NSW1,Black Coal,2021-09-22 12:45:00,3686.46255
NSW1,Black Coal,2021-09-22 12:50:00,3653.86261
NSW1,Black Coal,2021-09-22 12:55:00,3678.6749400000003
NSW1,Black Coal,2021-09-22 13:00:00,3656.0687
NSW1,Black Coal,2021-09-22 13:05:00,3687.74995
NSW1,Black Coal,2021-09-22 13:10:00,3696.7874800000004
NSW1,Black Coal,2021-09-22 13:15:00,3707.37499
NSW1,Black Coal,2021-09-22 13:20:00,3740.2313699999995
NSW1,Black Coal,2021-09-22 13:25:00,3732.0872000000004
NSW1,Black Coal,2021-09-22 13:30:00,3768.37501
NSW1,Black Coal,2021-09-22 13:35:00,3736.6876799999995
NSW1,Black Coal,2021-09-22 13:40:00,3724.4251099999997
NSW1,Black Coal,2021-09-22 13:45:00,3756.1438900000003
NSW1,Black Coal,2021-09-22 13:50:00,3737.74986
NSW1,Black Coal,2021-09-22 13:55:00,3757.6062300000003
NSW1,Black Coal,2021-09-22 14:00:00,3741.27512
NSW1,Black Coal,2021-09-22 14:05:00,3755.16265
NSW1,Black Coal,2021-09-22 14:10:00,3720.40614
NSW1,Black Coal,2021-09-22 14:15:00,3680.08756
NSW1,Black Coal,2021-09-22 14:20:00,3672.48744
NSW1,Black Coal,2021-09-22 14:25:00,3677.6812099999997
NSW1,Black Coal,2021-09-22 14:30:00,3664.6684999999998
NSW1,Black Coal,2021-09-22 14:35:00,3695.68759
NSW1,Black Coal,2021-09-22 14:40:00,3662.1310999999996
NSW1,Black Coal,2021-09-22 14:45:00,3691.0248300000003
NSW1,Black Coal,2021-09-22 14:50:00,3702.85016
NSW1,Black Coal,2021-09-22 14:55:00,3675.50011
NSW1,Black Coal,2021-09-22 15:00:00,3740.2376000000004
NSW1,Gas,2021-09-22 12:00:00,0.15386
NSW1,Gas,2021-09-22 12:05:00,0.1639
NSW1,Gas,2021-09-22 12:10:00,0.15386
NSW1,Gas,2021-09-22 12:15:00,0.15386
NSW1,Gas,2021-09-22 12:20:00,0.15386
NSW1,Gas,2021-09-22 12:25:00,-2.2899000000000003
NSW1,Gas,2021-09-22 12:30:00,0.15386
NSW1,Gas,2021-09-22 12:35:00,0.17395
NSW1,Gas,2021-09-22 12:40:00,0.15386
NSW1,Gas,2021-09-22 12:45:00,0.15386
NSW1,Gas,2021-09-22 12:50:00,0.1639
NSW1,Gas,2021-09-22 12:55:00,0.15386
NSW1,Gas,2021-09-22 13:00:00,0.15386
NSW1,Gas,2021-09-22 13:05:00,0.15386
NSW1,Gas,2021-09-22 13:10:00,0.15386
NSW1,Gas,2021-09-22 13:15:00,0.15386
NSW1,Gas,2021-09-22 13:20:00,0.15386
NSW1,Gas,2021-09-22 13:25:00,0.17395
NSW1,Gas,2021-09-22 13:30:00,0.17395
NSW1,Gas,2021-09-22 13:35:00,0.15386
NSW1,Gas,2021-09-22 13:40:00,0.15386
NSW1,Gas,2021-09-22 13:45:00,0.15386
NSW1,Gas,2021-09-22 13:50:00,0.17395
NSW1,Gas,2021-09-22 13:55:00,0.15386
NSW1,Gas,2021-09-22 14:00:00,0.14381
NSW1,Gas,2021-09-22 14:05:00,0.15386
NSW1,Gas,2021-09-22 14:10:00,0.17395
NSW1,Gas,2021-09-22 14:15:00,0.17395
NSW1,Gas,2021-09-22 14:20:00,0.14381
NSW1,Gas,2021-09-22 14:25:00,0.1639
NSW1,Gas,2021-09-22 14:30:00,0.184
NSW1,Gas,2021-09-22 14:35:00,0.17395
NSW1,Gas,2021-09-22 14:40:00,0.13376
NSW1,Gas,2021-09-22 14:45:00,0.15386
NSW1,Gas,2021-09-22 14:50:00,0.17395
NSW1,Gas,2021-09-22 14:55:00,0.1639
NSW1,Gas,2021-09-22 15:00:00,0.13376
NSW1,Hydro,2021-09-22 12:00:00,40.05575
NSW1,Hydro,2021-09-22 12:05:00,40.02741
NSW1,Hydro,2021-09-22 12:10:00,39.8156
NSW1,Hydro,2021-09-22 12:15:00,36.1392
NSW1,Hydro,2021-09-22 12:20:00,35.5707
NSW1,Hydro,2021-09-22 12:25:00,35.920339999999996
NSW1,Hydro,2021-09-22 12:30:00,35.98725
NSW1,Hydro,2021-09-22 12:35:00,35.5707
NSW1,Hydro,2021-09-22 12:40:00,35.62741
NSW1,Hydro,2021-09-22 12:45:00,36.15575
NSW1,Hydro,2021-09-22 12:50:00,35.9723
NSW1,Hydro,2021-09-22 12:55:00,36.00381
NSW1,Hydro,2021-09-22 13:00:00,35.51085
NSW1,Hydro,2021-09-22 13:05:00,36.079350000000005
NSW1,Hydro,2021-09-22 13:10:00,56.823350000000005
NSW1,Hydro,2021-09-22 13:15:00,35.15953
NSW1,Hydro,2021-09-22 13:20:00,54.60804999999999
NSW1,Hydro,2021-09-22 13:25:00,55.43742
NSW1,Hydro,2021-09-22 13:30:00,56.07275
NSW1,Hydro,2021-09-22 13:35:00,55.103579999999994
NSW1,Hydro,2021-09-22 13:40:00,53.58284
NSW1,Hydro,2021-09-22 13:45:00,55.236959999999996
NSW1,Hydro,2021-09-22 13:50:00,53.17372
NSW1,Hydro,2021-09-22 13:55:00,55.63346
NSW1,Hydro,2021-09-22 14:00:00,54.11565
NSW1,Hydro,2021-09-22 14:05:00,54.995870000000004
NSW1,Hydro,2021-09-22 14:10:00,51.84079
NSW1,Hydro,2021-09-22 14:15:00,52.91195999999999
NSW1,Hydro,2021-09-22 14:20:00,55.3141
NSW1,Hydro,2021-09-22 14:25:00,54.219759999999994
NSW1,Hydro,2021-09-22 14:30:00,52.739459999999994
NSW1,Hydro,2021-09-22 14:35:00,56.06246999999999
NSW1,Hydro,2021-09-22 14:40:00,34.035940000000004
